,"Endohyte.06","EMF.06","SoilBacteriaPLFA.04","SoilFungiPLFA.04","Lichen.10","LeafModifiers.10","LeafPaths.09","LeafPaths.10"
"EMF.06",0.177,,,,,,,
"SoilBacteriaPLFA.04",0.032,-0.061,,,,,,
"SoilFungiPLFA.04",99,-0.071,999,,,,,
"Lichen.10",-0.124,0.076,0.081,0.037,,,,
"LeafModifiers.10",99,999,0.186,0.278,999,,,
"LeafPaths.09",999,99,-0.034,0.091,-0.01,999,,
"LeafPaths.10",999,0.002,0.209,0.177,-0.066,999,999,
"FoliarArthropods.08","NA","NA","NA","NA",0.157,999,-0.156,0.103
